

#ID = Rosetta generated unique probe identifier
#EntrezGeneID = Entrez Gene identifier for the gene represented
#ORF = Gene symbol for the gene represented
#GB_ACC = GenBank Accession
#PROBE_DERIVED_FROM_TRANSCRIPT = Actual transcript sequence from which the probe was derieved
#SPOT_ID = 
#RosettaGeneModelID = Rosetta internal gene identifier.
ID	EntrezGeneID	ORF	GB_ACC	PROBE_DERIVED_FROM_TRANSCRIPT	SPOT_ID	RosettaGeneModelID
10023811010	3251	HPRT1	NM_000194	NM_000194		HSG00254916
10025931151			BC040935	BC040935		HSG00221466
10023826913			BC027349	non-public		HSG00303776
10025909298	168374	ZNF92	NM_152626	NM_152626		HSG00249150
10023841140	317762	C14orf65		non-public	ENSEMBLE: ENST00000298353	HSG00285410
10025908037	29993	PACSIN1	NM_020804	NM_020804		HSG00243181
10025926094			BX108188	non-public		HSG00202419
10025933759			AL832549	AL832549		HSG00291592
10025932184			NM_018612	non-public		HSG00401599
10025922150			BG985243	non-public		HSG00206210
10025909613	6642	SNX1	NM_152826	NM_152826		HSG00291262
10025912350	65264	UBE2Z	NM_023079	NM_023079		HSG00302465
10025905437	79954	NOL10	NM_024894	NM_024894		HSG00212538
10026395994	7442	TRPV1	NM_018727	NM_018727		HSG00301682
10025907942	286023		NM_173682	NM_173682		HSG00250530
10023821864	7454	WAS	NM_000377	NM_000377		HSG00254699
10025904985	124565		NM_138570	NM_138570		HSG00302883
10025908157	55056		NM_017976	NM_017976		HSG00290238
10031919791	339531			non-public	ENSEMBLE: ENST00000329504	HSG00205655
10025903348	4363	ABCC1	NM_019901	NM_019901		HSG00294368
10023807607	3760	KCNJ3	NM_002239	NM_002239		HSG00213115
10025903150	161003	STOML3	NM_145286	NM_145286		HSG00284890
10026394013	659	BMPR2	NM_001204	NM_001204		HSG00214257
10023824755	339541		NM_001004307	non-public		HSG00200557
10025931963			U18302	U18302		HSG00293648
10025906036	7798	LUZP1	NM_033631	NM_033631		HSG00204621
10025935506			XM_167298	XM_167298		HSG00247204
10023847177	79716	NPEPL1	NM_024663	NM_024663		HSG00311886
10025909664	29119	CTNNA3	NM_013266	NM_013266		HSG00267650
10023815673	57471	KIAA1189	AB033015	AB033015		HSG00214719
10025911923	2317	FLNB	NM_001457	NM_001457		HSG00224796
10025905653	58528	RRAGD	NM_021244	NM_021244		HSG00243097
10025904522	996	CDC27	NM_001256	NM_001256		HSG00302417
10023834903			AF086383	AF086383		HSG00263423
10025903511	259249	MRGPRX1	NM_147199	NM_147199		HSG00274718
10025928763			BC038725	non-public		HSG00222508
10025907950	90	ACVR1	NM_001105	NM_001105		HSG00213093
10023820643	23632	CA14	NM_012113	NM_012113		HSG00204403
10025904000	1992	SERPINB1	NM_030666	NM_030666		HSG00243405
10025908544	8898	MTMR2	NM_016156	NM_016156		HSG00270933
10025905992	84301	DDI2	NM_032341	NM_032341		HSG00204934
10025921381			AI907115	non-public		HSG00365717
10025933490			BU739932	non-public		HSG00285903
10025919604			AK095753	AK095753		HSG00312000
10023849260			AF147316	AF147316		HSG00263199
10025910728	201266	SLC39A11	NM_139177	NM_139177		HSG00302873
10025925951			AF090948	AF090948		HSG00292380
10023810059	253512	SLC25A30	NM_001010875	non-public		HSG00282768
10023816376	11015	KDELR3	NM_006855	NM_006855		HSG00314678
10025924577	340094		XM_295155	non-public		HSG00233892
10023813792	160428	ALDH1L2	NM_001034173	non-public		HSG00278694
10025903043	7332	UBE2L3	NM_003347	NM_003347		HSG00314268
10023824253	4675	NAP1L3	NM_004538	NM_004538		HSG00254236
10025921806			AF130065	non-public		HSG00298550
10023835292	79603	LASS4	NM_024552	NM_024552		HSG00308325
10033668852	1592	CYP26A1	NM_057157	NM_057157		HSG00268282
10025934697			AF147336	AF147336		HSG00256129
10031920640			AI684822	AI684822		HSG00325219
10023843880	129049	RUTBC2	AB075821	AB075821		HSG00314759
10025932345			AI493097	non-public		HSG00418468
10025903738	10023	FRAT1	NM_005479	NM_005479		HSG00267920
10025915603			XM_209212	XM_209212		HSG00356098
10025907459	5519	PPP2R1B	NM_002716	NM_002716		HSG00272900
10025906298	55028	C17orf80	NM_017941	NM_017941		HSG00298189
10023821781	9659	PDE4DIP	AB007923	AB007923		HSG00208837
10023818889	334	APLP2	NM_001642	NM_001642		HSG00271124
10025906950	23192	ATG4B	NM_013325	NM_013325		HSG00213135
10025909499	285598	ARL10	NM_173664	NM_173664		HSG00232473
10025905463	10686	CLDN16	NM_006580	NM_006580		HSG00222210
10023850597			AK055485	AK055485		HSG00234213
10023804657	25911	RP11-529I10.4	AL110240	AL110240		HSG00269139
10025929708			XM_066284	XM_066284		HSG00364725
10023813505	11116	FGFR1OP	NM_007045	NM_007045		HSG00242430
10025932631			AK090884	AK090884		HSG00232152
10025913258	121340	SP7	NM_152860	NM_152860		HSG00278181
10025904788	27258	LSM3	NM_014463	NM_014463		HSG00220140
10025926365			AK055974	AK055974		HSG00279448
10025902719	186	AGTR2	NM_000686	NM_000686		HSG00254279
10023823586	55349	CHDH	NM_018397	non-public		HSG00221218
10023826087	24146	CLDN15	NM_014343	NM_014343		HSG00251415
10025917412	284371		XM_209155	non-public		HSG00308624
10023836305			AL137372	AL137372		HSG00256365
10025923995				non-public	ENSEMBLE: ENST00000313396	HSG00365143
10025923089	442250		XM_498134	non-public		HSG00239154
10023825387	51501	C11orf73	NM_016411	NM_016411		HSG00274660
10023809122	57673	KIAA1553	XM_166320	non-public		HSG00355471
10023848954	23347	SMCHD1		non-public	ENSEMBLE: ENST00000300366	HSG00304229
10025902668	6891	TAP2	NM_018833	NM_018833		HSG00244604
10023822613	26998	FETUB	NM_014375	NM_014375		HSG00222148
10023840794	4133	MAP2	AK055674	AK055674		HSG00214146
10025925658	441933	OR13G1	NM_001005487	non-public		HSG00205484
10025927842	339782		XM_295062	non-public		HSG00397543
10023817736	419	ART3	NM_001179	NM_001179		HSG00229607
10023829555			AF085874	AF085874		HSG00275838
10025907331	203100	HTRA4	NM_153692	NM_153692		HSG00258527
10025909422	79664	NARG2	NM_024611	NM_024611		HSG00290288
10023820829			AK123745	non-public		HSG00201831
10023809524	28989	C9orf32	NM_014064	NM_014064		HSG00263132
10025927534	390098		XM_497270	non-public		HSG00274619
10025912000	157376	C8orf78	NM_182525	NM_182525		HSG00258416
10023838198				non-public	ENSEMBLE: ENST00000242429	HSG00299851
10025904417	55671	KIAA2010	NM_017936	NM_017936		HSG00287506
10023835071	80157		NM_025087	NM_025087		HSG00228584
10023848193	8907	AP1M1	NM_032493	NM_032493		HSG00307471
10025920760	480	ATP1A4	NM_001001734	non-public		HSG00205934
10023850973	340096			non-public	ENSEMBLE: ENST00000274165	HSG00235752
10025912520	6613	SUMO2	NM_006937	NM_006937		HSG00302259
10025930955			AK124257	non-public		HSG00251501
10025909405	9823	ARMCX2	NM_177949	NM_177949		HSG00254217
10025927996	6955	TRA@	AF532857	non-public		HSG00288166
10033668658	8884	SLC5A6	NM_021095	NM_021095		HSG00213000
10025921205			XM_104158	XM_104158		HSG00365178
10025912119	140876	C20orf175	NM_080829	NM_080829		HSG00311702
10025905343	348995	NUP43	NM_024647	NM_024647		HSG00243495
10025919651	286059		AK024295	AK024295		HSG00259205
10023822235	4306	NR3C2	NM_000901	NM_000901		HSG00227321
10023818053	55082		NM_018011	NM_018011		HSG00284904
10025912727	65117		NM_023012	NM_023012		HSG00282233
10025917164			AK125077	non-public		HSG00355878
10023817629	5617	PRL	NM_000948	NM_000948		HSG00243358
10023809301	1474	CST6	NM_001323	NM_001323		HSG00272224
10025918477	391481		XM_115833	XM_115833		HSG00218701
10023810809	56034	PDGFC	NM_016205	NM_016205		HSG00228227
10023806003	652995		BC055082	non-public		HSG00309835
10023834675	91464		AK025181	AK025181		HSG00315471
10025915790			AK055067	AK055067		HSG00312318
10023840698	84626		AB058765	AB058765		HSG00251816
10025930626	93964		AL365407	AL365407		HSG00308155
10023825349			AI168225	non-public		HSG00356861
10025933862			AI538485	non-public		HSG00304292
10023811405			AK126800	non-public		HSG00217286
10025911625	23020	ASCC3L1	NM_014014	NM_014014		HSG00214304
10025930306	169436	C9orf96	NM_153710	non-public		HSG00261201
10025917657			AK022461	AK022461		HSG00223431
10025934784			XM_211775	XM_211775		HSG00217932
10025923389			AK022039	AK022039		HSG00216584
10023818899	5255	PHKA1	NM_002637	NM_002637		HSG00253733
10033668583	57335	ZNF286	NM_020652	NM_020652		HSG00297711
10025934298			XM_210509	XM_210509		HSG00363941
10025907067	150	ADRA2A	NM_000681	NM_000681		HSG00269685
10025911050	125965	COX6B2	NM_144613	NM_144613		HSG00307980
10025916736	286478		XM_212326	non-public		HSG00255044
10025934069			AW872690	non-public		HSG00265855
10031920294	401123		NM_207490	NM_207490		HSG00228575
10025920002			BC033962	BC033962		HSG00290528
10023819012			BC046515	non-public		HSG00404894
10023834042	411	ARSB	AK026942	AK026942		HSG00236732
10023828150	204	AK2	NM_013411	NM_013411		HSG00202415
10023825618	9638	FEZ1	NM_005103	NM_005103		HSG00273435
10023832486	116071	BATF2	NM_138456	NM_138456		HSG00272842
10025905724	25914	RTTN	NM_173630	NM_173630		HSG00303638
10023835315	79991	OBFC1	NM_024928	NM_024928		HSG00268731
10023847376	63951	DMRTA1	AJ290954	AJ290954		HSG00262191
10023816943	54544	C1orf42	NM_019060	NM_019060		HSG00207990
10023832228	8463	TEAD2	NM_003598	NM_003598		HSG00307526
10025905588	5538	PPT1	NM_000310	NM_000310		HSG00200267
10025914665			XM_115229	XM_115229		HSG00381773
10023837835	114783	LMTK3	AB067470	AB067470		HSG00308143
10025928305			AV735583	non-public		HSG00212885
10025919395	155100		XM_054313	non-public		HSG00353933
10025932454			H30409	non-public		HSG00228361
10023807401	1087	CEACAM7	NM_006890	NM_006890		HSG00307454
10025903854	91603	CCDC16	NM_052857	NM_052857		HSG00302176
10025913242	3595	IL12RB2	NM_001559	NM_001559		HSG00205300
10025912879	6118	RPA2	NM_002946	NM_002946		HSG00204414
10025935036			XM_171902	XM_171902		HSG00364990
10025920182			AL833043	AL833043		HSG00378218
10023821790	9856	KIAA0319	NM_014809	NM_014809		HSG00244547
10025906399	317772	HIST2H2AB	NM_175065	NM_175065		HSG00208089
10023833484	79686	C14orf139	NM_024633	NM_024633		HSG00287849
10023825339	8468	FKBP6	NM_003602	NM_003602		HSG00251327
10025925591			XM_166894	XM_166894		HSG00363263
10025907031	284313		NM_178521	NM_178521		HSG00308582
10025929589			AL137617	AL137617		HSG00238217
10025903758	55188	RIC8B	NM_018157	NM_018157		HSG00277701
10025935093			BQ225423	non-public		HSG00230556
10025906737	1794	DOCK2	NM_004946	NM_004946		HSG00236738
10025917220	284593	FAM41C	XM_211538	XM_211538		HSG00207212
10023824470	55423	SIRPG	NM_018556	NM_018556		HSG00312121
10025925940			AK056845	AK056845		HSG00221539
10025912269	146857	SLFN13	NM_144682	NM_144682		HSG00301902
10025910989	222171		NM_175887	NM_175887		HSG00251029
10023826689	4501	MT1X	NM_002450	NM_002450		HSG00294888
10033668961	6513	SLC2A1	NM_006516	NM_006516		HSG00208281
10025915204			AA001641	non-public		HSG00243722
10025904448	90956	ADCK2	NM_052853	NM_052853		HSG00250011
10025925896			AK091809	AK091809		HSG00210937
10025922116				non-public	RosettaGeneID: HSG00362325	HSG00362325
10031920652				non-public	RosettaGeneID: HSG00318186	HSG00318186
10025917495			BF918686	non-public		HSG00355989
10025925078	494514	C18orf56	BC028301	BC028301		HSG00304244
10033668474	2266	FGG	NM_000509	NM_000509		HSG00229596
10025909736	7007	TECTA	NM_005422	NM_005422		HSG00272682
10025903958	57794	SF4	NM_182812	NM_182812		HSG00306743
10025912429	7472	WNT2	NM_003391	NM_003391		HSG00250027
10025924647			AA412731	non-public		HSG00298059
10023807611	56920	SEMA3G	NM_020163	NM_020163		HSG00225787
10023828871	91373	UAP1L1	AK074143	AK074143		HSG00261455
10025913696			AA431127	non-public		HSG00282978
10031920594	343171	OR2W3	NM_001001957	NM_001001957		HSG00356997
10025916624			AA897697	non-public		HSG00279557
10023836168	4713	NDUFB7	NM_004146	NM_004146		HSG00307919
10025911487	81894	SLC25A28	NM_031212	NM_031212		HSG00268460
10023823655			AA039713	non-public		HSG00241653
10031920438	155066	ATP6V0E2L	NM_145230	NM_145230		HSG00245455
10033668759	4129	MAOB	NM_000898	NM_000898		HSG00254260
10025934289			AF147303	AF147303		HSG00300217
10025930496	283571		XM_372528	non-public		HSG00287336
10023811004	4790	NFKB1	NM_003998	NM_003998		HSG00227710
10023830863	5465	PPARA	AF086231	AF086231		HSG00354020
10025908174	4493	MT1E	NM_175617	NM_175617		HSG00296953
10025919446	390773		XM_496190	non-public		HSG00299948
10025910402	8743	TNFSF10	NM_003810	NM_003810		HSG00221690
10025906933	11314	CD300A	NM_007261	NM_007261		HSG00301937
10033668829	7126	TNFAIP1	NM_021137	NM_021137		HSG00302031
10025935360			AA629292	non-public		HSG00316251
10023805330			AL133570	non-public		HSG00407105
10025907066	54851	ANKRD49	NM_017704	NM_017704		HSG00273270
10025917858			AW182684	non-public		HSG00203095
10025910822	56111	PCDHGA4	NM_032053	NM_032053		HSG00238383
10023827966	1182	CLCN3	AL117599	AL117599		HSG00228253
10025927504			BX110797	non-public		HSG00316353
10025907771	3841	KPNA5	NM_002269	NM_002269		HSG00241973
10025915315			BC039482	BC039482		HSG00255995
10031920428	139735		XM_066859	non-public		HSG00254923
10031920161	26737	OR1L1	NM_001005236	NM_001005236		HSG00261311
10023824183	112	ADCY6	NM_020983	NM_020983		HSG00276835
10025907086	134359		NM_152408	NM_152408		HSG00236898
10023845271	401525			non-public	ENSEMBLE: ENST00000277004	HSG00357016
10025911126	153129		NM_173514	NM_173514		HSG00232416
10031920842	23074			non-public	ENSEMBLE: ENST00000356828	HSG00278656
10025911235	56849	TCEAL7	NM_152278	NM_152278		HSG00255106
10023822011			AA922016	non-public		HSG00412943
10023816669	440278		BC066967	non-public		HSG00289329
10031919696	400511		NM_207448	NM_207448		HSG00295092
10025922200			AW882164	non-public		HSG00227965
10025926711			XM_064923	XM_064923		HSG00309587
10023805511	4515	MTCP1	NM_014221	NM_014221		HSG00254688
10031920252	5732	PTGER2	NM_000956	non-public		HSG00288088
10023820833	55435	C4orf16	NM_018569	NM_018569		HSG00228251
10023827455	441450		XM_499151	non-public		HSG00263986
10025906893	256051	ZNF549	NM_153263	NM_153263		HSG00305874
10025905202	3269	HRH1	NM_000861	NM_000861		HSG00226403
10023820609	5768	QSCN6	NM_002826	NM_002826		HSG00206832
10025903245	5134	PDCD2	NM_144781	NM_144781		HSG00243392
10023806926			BC017972	non-public		HSG00200419
10023813709	11026	LILRA3	NM_006865	NM_006865		HSG00306261
10025915333				non-public	RosettaGeneID: HSG00364097	HSG00364097
10025908803	3105	HLA-A	NM_002116	NM_002116		HSG00243533
10023850233	121952			non-public	ENSEMBLE: ENST00000298105	HSG00282765
10025933832			XM_067006	XM_067006		HSG00362300
10023848137			AK000769	AK000769		HSG00423489
10023816892			AL157455	AL157455		HSG00291552
10025903769	26659	OR7A5	NM_017506	NM_017506		HSG00307529
10025906599	8941	CDK5R2	NM_003936	NM_003936		HSG00214095
10023847745	8470	SORBS2	NM_021069	non-public		HSG00227652
10025917445			CR591483	non-public		HSG00238931
10025932752			XM_060240	XM_060240		HSG00382951
10025913656	27068	PPA2	NM_001034193	non-public		HSG00227504
10025915696	54088	C21orf23	AI631963	non-public		HSG00418736
10025927022			AK022645	AK022645		HSG00222547
10025934352			BC014936	BC014936		HSG00216093
10025916195				non-public	RosettaGeneID: HSG00361124	HSG00361124
10025907878	2843	GPR20	NM_005293	NM_005293		HSG00258812
10023825532	1378	CR1	NM_000651	NM_000651		HSG00201217
10023817472	11156	PTP4A3	NM_032611	non-public		HSG00258608
10023812126			AK123390	non-public		HSG00259609
10025931112			BG756049	non-public		HSG00428587
10025933312			BG250475	non-public		HSG00306707
10025930883	283592	C14orf86	BC037859	BC037859		HSG00285743
10025905746	256435	ST6GALNAC3	NM_152996	NM_152996		HSG00207382
10025926914			CD656753	non-public		HSG00296170
10031919925	6694	SPP2	BX405936	BX405936		HSG00214040
10025918135	155036		XM_376722	non-public		HSG00399689
10025927665	256280	CARM1L	XM_171224	non-public		HSG00392789
10025903104	8453	CUL2	NM_003591	NM_003591		HSG00267706
10031919993				non-public	ENSEMBLE: ENST00000330578	HSG00352314
10023808557	9201	DCAMKL1	NM_004734	NM_004734		HSG00284545
10025922249			XM_209815	XM_209815		HSG00398939
10025903631	79634	SCRN3	NM_024583	NM_024583		HSG00214127
10023822099	9170	EDG4	NM_004720	NM_004720		HSG00308295
10025913889	440432		AL049275	AL049275		HSG00298027
10025913488				non-public	RosettaGeneID: HSG00366173	HSG00366173
10025928173			BE768874	non-public		HSG00371619
10023828973	64805	P2RY12	NM_022788	NM_022788		HSG00222216
10023835054			AK093548	non-public		HSG00216549
10025911388	4440	MSI1	NM_002442	NM_002442		HSG00278215
10025906850	5831	PYCR1	NM_006907	NM_006907		HSG00317655
10023838467				non-public	RosettaGeneID: HSG00355057	HSG00355057
10025915694	283389		XM_211009	XM_211009		HSG00280415
10023816002			AL359559	non-public		HSG00216778
10025934226			AI766032	non-public		HSG00223675
10023829613				non-public	ENSEMBLE: ENST00000328132	HSG00288261
10025908688	51000	SLC35B3	NM_015948	NM_015948		HSG00242100
10025922392			W92206	non-public		HSG00233930
10023828085	23165	NUP205	D86978	D86978		HSG00245376
10025906481	8545	CGGBP1	NM_003663	NM_003663		HSG00225927
10025904619	3467	IFNW1	NM_002177	NM_002177		HSG00262835
10025918357			XM_210636	XM_210636		HSG00237368
10025909942	4674	NAP1L2	NM_021963	NM_021963		HSG00254262
10025912439	4846	NOS3	NM_000603	NM_000603		HSG00248517
10023818039	55207	ARL8B	NM_018184	NM_018184		HSG00219715
10023838890			AK055495	AK055495		HSG00412098
10025925254				non-public	RosettaGeneID: HSG00365065	HSG00365065
10023816919			R17720	non-public		HSG00399523
10025923364	440835		XM_498884	non-public		HSG00314532
10025918005			AA757019	non-public		HSG00242691
10025905561	9149	DYRK1B	NM_006484	NM_006484		HSG00307076
10025906794	8542	APOL1	NM_145344	NM_145344		HSG00314277
10023809749	10154	PLXNC1	AF035307	AF035307		HSG00276986
10023823293	90639		NM_001031617	non-public		HSG00245265
10031920692	378951	RBMY1J	NM_001006117	NM_001006117		HSG00352976
10025908092	10666	CD226	NM_006566	NM_006566		HSG00303903
10025906868	6891	TAP2	NM_000544	NM_000544		HSG00244604
10023804700	389538		XM_371936	non-public		HSG00251228
10023839356	391045			non-public	ENSEMBLE: ENST00000290068	HSG00206186
10025910321	10114	HIPK3	NM_005734	NM_005734		HSG00271141
10025932473	57463	AMIGO1	AB032989	AB032989		HSG00204763
10025902604	206938	C9orf94	NM_152702	NM_152702		HSG00261541
10025919094			AA781928	non-public		HSG00218937
10025932192			CA943424	non-public		HSG00287357
10023811682	23046	KIF21B	NM_017596	NM_017596		HSG00206293
10025919870	440753		XM_097741	XM_097741		HSG00311225
10025908042	79412	KREMEN2	NM_024507	NM_024507		HSG00295587
10025929138			AA506722	non-public		HSG00419360
10023826066	5595	MAPK3	X60188	X60188		HSG00296233
10025903463	221393	GPR115	NM_153838	NM_153838		HSG00241901
10023816928	2027	ENO3	NM_001976	NM_001976		HSG00302229
10025926219			AK025107	AK025107		HSG00314627
10025907106	57010	CABP4	NM_145200	NM_145200		HSG00273765
10023834775	83483	PLVAP	NM_031310	NM_031310		HSG00307469
10023832193	83902	KRTAP17-1	NM_031964	NM_031964		HSG00297640
10023825862	3860	KRT13	NM_002274	NM_002274		HSG00301858
10025929697			BC036874	BC036874		HSG00314631
10025915654	28517	TRDV2	AB010648	non-public		HSG00355964
10025918428	390181	OR5AK2	NM_001005323	non-public		HSG00273282
10023805157	10518	CIB2	NM_006383	NM_006383		HSG00291355
10023817079	23504	RIMBP2	AB002316	AB002316		HSG00278670
10025917907			BF678846	non-public		HSG00216902
10023807700	3356	HTR2A	NM_000621	NM_000621		HSG00284720
10025920498			XM_211244	XM_211244		HSG00391663
10025911159	158046	C9orf121	NM_145283	NM_145283		HSG00263002
10025922135	389663		XM_209935	XM_209935		HSG00256496
10023815995	27076	LYPD3	NM_014400	NM_014400		HSG00306075
10025922383	27441	CECR4	AF307448	AF307448		HSG00314868
10025912895	3344	HTLF	NM_002158	NM_002158		HSG00211157
10025926550			AA057275	non-public		HSG00212215
10023810665	1773	DNASE1	R91034	R91034_RC		HSG00295963
10023826287	8605	PLA2G4C	NM_003706	NM_003706		HSG00307162
10023805059	4068	SH2D1A	NM_002351	NM_002351		HSG00254278
10025906903	3665	IRF7	NM_004029	NM_004029		HSG00273379
10023814302	4705	NDUFA10	NM_004544	NM_004544		HSG00216975
10025909555	64795	RMND5A	NM_022780	NM_022780		HSG00212605
10023828032	6401	SELE	NM_000450	NM_000450		HSG00205932
10025905369	23533	PIK3R5	NM_014308	NM_014308		HSG00302424
10025920457			AI798364	non-public		HSG00352443
10023848605	10811	NOXA1	AF039697	AF039697		HSG00317597
10023850408	63027	C6orf85	NM_021945	NM_021945		HSG00243614
10023821191	1160	CKMT2	NM_001825	NM_001825		HSG00236960
10025933729			BC023258	BC023258		HSG00293359
10025929120			XM_070278	XM_070278		HSG00364696
10025935143			AL832442	AL832442		HSG00377938
10023821222	9194	SLC16A7	NM_004731	NM_004731		HSG00277634
10023821283	23230	VPS13A	NM_001018037	non-public		HSG00260643
10023836802				non-public	ENSEMBLE: ENST00000289264	HSG00381996
10023817086			NM_014074	NM_014074		HSG00206451
10023807900	9087	TMSB4Y	NM_004202	NM_004202		HSG00312977
10025911638	57508	INTS2	NM_020748	NM_020748		HSG00301575
10025928175			BF507735	non-public		HSG00272667
10025920343			BE001733	non-public		HSG00229458
10025927210	389715		AK128180	non-public		HSG00262884
10025915735	652991		XM_064560	XM_064560		HSG00377671
10026393088	7323	UBE2D3	NM_003340	NM_003340		HSG00229051
10023843919	5575	PRKAR1B	M65066	M65066		HSG00317942
10023821874			AA703154	non-public		HSG00213920
10023812363	4869	NPM1	NM_002520	NM_002520		HSG00237262
10025925213			XM_174313	XM_174313		HSG00364477
10025921469			AL157478	AL157478		HSG00366287
10025924495	442322		XM_498213	non-public		HSG00355963
10025911378			NM_024978	NM_024978		HSG00237868
10025908377	27091	CACNG5	NM_145811	NM_145811		HSG00303063
10023815774	54967	CXorf48	NM_017863	NM_017863		HSG00254509
10025917043	440384		XM_498646	non-public		HSG00295658
10025922913			AL564450	non-public		HSG00296118
10023821534	202052	DNAJC18	NM_152686	non-public		HSG00237582
10023819250			AK126393	non-public		HSG00352940
10025935591			AK024819	AK024819		HSG00234041
10025907121	23615	PYY2	NM_021093	NM_021093		HSG00297620
10025925519			XM_061849	XM_061849		HSG00363537
10023818466	10085	EDIL3	NM_005711	NM_005711		HSG00237917
10023804949			AI373248	non-public		HSG00247850
10023826625	11215	AKAP11	NM_016248	NM_016248		HSG00284540
10023813461	196264		NM_198275	non-public		HSG00274716
10023811880	51665	ASB1	NM_016114	NM_016114		HSG00214320
10025907234	92935	MARS2	NM_138395	NM_138395		HSG00213061
10025910680	958	CD40	NM_152854	NM_152854		HSG00312367
10025914177	54076	C21orf37	NM_001005521	non-public		HSG00316763
